[2025-05-09 09:24:59,511: middlewares] "GET /events/1/"
[2025-05-09 09:25:14,102: middlewares] "GET /events/"
[2025-05-09 09:26:09,283: middlewares] "POST /events/"
[2025-05-09 09:28:02,370: middlewares] "POST /events/"
[2025-05-09 09:32:11,886: middlewares] "POST /events/"
[2025-05-09 09:33:08,892: middlewares] "POST /events/"
[2025-05-09 09:33:38,809: middlewares] "POST /events/"
[2025-05-09 09:33:44,367: middlewares] "POST /events/"
[2025-05-09 09:38:49,292: middlewares] "POST /events/"
[2025-05-09 09:39:21,299: middlewares] "POST /events/"
[2025-05-09 09:42:40,838: middlewares] "POST /events/"
[2025-05-09 09:43:31,935: middlewares] "POST /events/"
[2025-05-09 09:47:57,919: middlewares] "POST /events/"
[2025-05-09 09:48:30,373: middlewares] "POST /events/"
[2025-05-09 09:49:47,711: middlewares] "POST /events/"
[2025-05-09 09:50:32,309: middlewares] "POST /events/"
[2025-05-09 09:51:18,265: middlewares] "POST /events/"
[2025-05-09 09:52:13,493: middlewares] "POST /events/"
[2025-05-09 09:52:36,641: middlewares] "POST /events/"
[2025-05-09 09:52:54,890: middlewares] "POST /events/"
